Entity,Code,Year,Anxiety disorders,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Australia,AUS,2019,5.8151646,49379.094,25357168.0,
Austria,AUT,2019,6.0064344,55806.438,8879939.0,
Bahamas,BHS,2019,4.3490176,35161.832,404563.0,
Bahrain,BHR,2019,4.937836,49768.977,1494195.0,
Belgium,BEL,2019,5.04724,51977.184,11510569.0,
Bermuda,BMU,2019,4.329229,81681.73,63833.0,
Brunei,BRN,2019,2.856928,61424.363,438058.0,
Canada,CAN,2019,4.3206058,49171.51,37522584.0,
Cyprus,CYP,2019,6.4671764,41746.918,1228840.0,
Czechia,CZE,2019,3.1539073,40989.727,10536876.0,
Denmark,DNK,2019,4.873904,56813.965,5795879.0,
Estonia,EST,2019,3.3788164,36153.434,1327039.0,
European Union (27),,2019,5.161444,44363.457,445027038.0,
Finland,FIN,2019,3.9931211,48583.434,5521539.0,
France,FRA,2019,6.2742558,45922.793,64399760.0,
Germany,DEU,2019,6.208145,53874.316,83148144.0,
High-income countries,,2019,4.8858933,49982.78,1214846354.0,
Hungary,HUN,2019,3.4067228,32649.143,9771799.0,
Iceland,ISL,2019,5.1037683,56923.17,360787.0,
Ireland,IRL,2019,6.9078193,86681.27,4896021.0,
Israel,ISR,2019,3.7392616,40810.055,8607922.0,
Italy,ITA,2019,5.5624604,42739.05,59727936.0,
Japan,JPN,2019,2.3241255,41697.41,125791680.0,
Kuwait,KWT,2019,4.599968,47314.797,4441105.0,
Latvia,LVA,2019,3.748034,31038.68,1916552.0,
Lithuania,LTU,2019,4.2541876,37184.453,2849083.0,
Luxembourg,LUX,2019,5.2770224,114542.5,619981.0,
Malta,MLT,2019,6.2475963,45433.918,503646.0,
Netherlands,NLD,2019,6.7548013,56784.04,17363260.0,
New Zealand,NZL,2019,7.263469,43110.37,4959033.0,
Norway,NOR,2019,6.7358413,64385.008,5348285.0,
Oman,OMN,2019,4.61154,33814.113,4602769.0,
Panama,PAN,2019,3.6566825,31543.605,4232538.0,
Poland,POL,2019,3.082497,33159.75,38493600.0,
Portugal,PRT,2019,8.02761,34945.66,10289921.0,
Puerto Rico,PRI,2019,4.442561,34792.656,3292888.0,
Qatar,QAT,2019,4.26387,90840.43,2807242.0,
Romania,ROU,2019,3.2856169,30006.336,19524212.0,
Saint Kitts and Nevis,KNA,2019,4.308869,31194.736,47739.0,
San Marino,SMR,2019,5.542622,60076.01,34203.0,
Saudi Arabia,SAU,2019,4.5544286,44954.992,35827364.0,
Singapore,SGP,2019,2.7080863,98283.31,5866408.0,
Slovakia,SVK,2019,3.4256656,31973.46,5453932.0,
Slovenia,SVN,2019,3.3891728,39034.234,2112905.0,
South Korea,KOR,2019,3.2213244,42758.59,51803832.0,
Spain,ESP,2019,4.8611727,40760.31,47131372.0,
Sweden,SWE,2019,4.795127,52850.57,10267922.0,
Switzerland,CHE,2019,6.79061,70857.086,8575593.0,
United Arab Emirates,ARE,2019,4.243272,71782.16,9211660.0,
United Kingdom,GBR,2019,4.4602027,47362.266,66778660.0,
United States,USA,2019,5.6977477,62478.254,334319680.0,
