Entity,Code_x,Year,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent,Code_y,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Code_x,Eating disorders (share of population) - Sex: Both - Age: Age-standardized,Code_y,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,total_mental_disorder_rate
Romania,ROU,1990,3.2760122,13378.491,22836234.0,,ROU,0.63806486,ROU,0.1322986,ROU,0.28248024,4.3288559
Romania,ROU,1991,3.2797456,11751.875,22842488.0,,ROU,0.63804686,ROU,0.12992308,ROU,0.28207108,4.32978662
Romania,ROU,1992,3.2821374,10818.865,22800964.0,,ROU,0.6380344,ROU,0.12793978,ROU,0.28171426,4.32982584
Romania,ROU,1993,3.2837214,10999.229,22721662.0,,ROU,0.63804036,ROU,0.12632048,ROU,0.28142345,4.32950569
Romania,ROU,1994,3.2845418,11448.344,22632776.0,,ROU,0.6380507,ROU,0.12481026,ROU,0.28121513,4.328617889999999
Romania,ROU,1995,3.2847672,12186.608,22533138.0,,ROU,0.6380648,ROU,0.12411408,ROU,0.28110325,4.32804933
Romania,ROU,1996,3.2779481,12699.362,22417872.0,,ROU,0.6380881,ROU,0.12381234,ROU,0.28107476,4.3209233000000005
Romania,ROU,1997,3.2614338,12118.4,22289540.0,,ROU,0.63811123,ROU,0.123426154,ROU,0.28109625,4.304067433999999
Romania,ROU,1998,3.241797,11897.019,22161240.0,,ROU,0.638132,ROU,0.12330278,ROU,0.28115016,4.28438194
Romania,ROU,1999,3.225392,11870.827,22039006.0,,ROU,0.63813543,ROU,0.12283645,ROU,0.28122082,4.2675847
Romania,ROU,2000,3.2188354,12178.754,21919882.0,,ROU,0.63812506,ROU,0.12290316,ROU,0.28128952,4.26115314
Romania,ROU,2001,3.2213411,12994.325,21797588.0,,ROU,0.63811284,ROU,0.123538464,ROU,0.28139246,4.264384864
Romania,ROU,2002,3.226113,13989.154,21653530.0,,ROU,0.63809085,ROU,0.12506586,ROU,0.28156507,4.2708347799999995
Romania,ROU,2003,3.2315843,14420.295,21481322.0,,ROU,0.6380626,ROU,0.12718211,ROU,0.28178456,4.27861357
Romania,ROU,2004,3.2360575,16015.051,21289292.0,,ROU,0.63802224,ROU,0.12918134,ROU,0.28202984,4.28529092
Romania,ROU,2005,3.2378204,16866.492,21092264.0,,ROU,0.6379673,ROU,0.13112709,ROU,0.28227752,4.28919231
Romania,ROU,2006,3.2367566,18328.932,20909406.0,,ROU,0.6379019,ROU,0.13321528,ROU,0.28269592,4.290569700000001
Romania,ROU,2007,3.2342188,19947.31,20744226.0,,ROU,0.63782734,ROU,0.13589096,ROU,0.28336957,4.291306669999999
Romania,ROU,2008,3.231349,22170.281,20597516.0,,ROU,0.6377617,ROU,0.13860935,ROU,0.2841463,4.291866349999999
Romania,ROU,2009,3.2289662,21122.297,20466318.0,,ROU,0.6376991,ROU,0.14093602,ROU,0.2848791,4.29248042
Romania,ROU,2010,3.2278728,20419.188,20335212.0,,ROU,0.63763493,ROU,0.14323983,ROU,0.28542027,4.29416783
Romania,ROU,2011,3.2354736,21446.771,20220286.0,,ROU,0.6375818,ROU,0.14535205,ROU,0.28587744,4.30428489
Romania,ROU,2012,3.2531416,21957.15,20137112.0,,ROU,0.6375242,ROU,0.1474501,ROU,0.28641093,4.32452683
Romania,ROU,2013,3.2734997,22098.33,20066550.0,,ROU,0.6374616,ROU,0.14925551,ROU,0.2869477,4.34716451
Romania,ROU,2014,3.2895129,23095.28,19995836.0,,ROU,0.63741404,ROU,0.15123485,ROU,0.28741324,4.3655750300000005
Romania,ROU,2015,3.2939792,23937.46,19906078.0,Europe,ROU,0.63739026,ROU,0.1526677,ROU,0.28773344,4.3717706000000005
Romania,ROU,2016,3.2813609,24763.135,19797820.0,,ROU,0.63735974,ROU,0.15514188,ROU,0.28795123,4.3618137500000005
Romania,ROU,2017,3.2700632,26948.158,19698852.0,,ROU,0.6373071,ROU,0.15743588,ROU,0.2881417,4.35294788
Romania,ROU,2018,3.27324,28741.227,19606778.0,,ROU,0.63725877,ROU,0.15966469,ROU,0.28847417,4.35863763
Romania,ROU,2019,3.2856169,30006.336,19524212.0,,ROU,0.6372142,ROU,0.16204906,ROU,0.28902072,4.37390088
